ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HORA,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,XY (CABA),VICTIMA,ACUSADO,Nº víctimas,V,A,Grupos_Part,Involucrados
2017-0041,1,2017-04-03,2017,4,3,23:15:00,23,BALDOMERO FERNANDEZ MORENO 2186,CALLE,7,Point (100774.70463767 99328.98632835),MOTO,AUTO,1,Motorizado,Motorizado,MM,MOTO-AUTO
2017-0042,1,2017-04-10,2017,4,10,09:00:00,9,AV. LEOPOLDO LUGONES PKM 6900,GRAL PAZ,14,Point (. .),MOTO,CARGAS,1,Motorizado,Motorizado,MM,MOTO-CARGAS
2017-0045,1,2017-04-14,2017,4,14,06:15:00,6,NOGOYA 5940,CALLE,10,Point (94388.40460408 100522.78812728),MOTO,OBJETO FIJO,1,Motorizado,No Motorizado,NmM,MOTO-OBJETO FIJO
2017-0047,1,2017-04-23,2017,4,23,06:30:00,6,AV. ARGENTINA Y AV. CORVALAN,AVENIDA,8,Point (99648.31069819 95261.11808541),MOTO,AUTO,1,Motorizado,Motorizado,MM,MOTO-AUTO
2017-0049,1,2017-04-27,2017,4,27,18:16:00,18,AV. FERNANDEZ DE LA CRUZ Y VARELA,AVENIDA,8,Point (102273.01728657 97084.66236498),PEATON,PASAJEROS,1,PEATON,Motorizado,PM,PEATON-PASAJEROS
2017-0050,2,2017-04-28,2017,4,28,11:08:08,11,AU PERITO MORENO Y RAMAL ENLACE AU1/AU6,AUTOPISTA,9,Point (. .),MOTO,CARGAS,1,Motorizado,Motorizado,MM,MOTO-CARGAS
2017-0051,1,2017-05-01,2017,5,1,03:47:47,3,AU DELLEPIANE 2400,AUTOPISTA,7,Point (. .),AUTO,AUTO,1,Motorizado,Motorizado,MM,AUTO-AUTO
2017-0052,1,2017-05-05,2017,5,5,03:40:00,3,AV. GRAL. PAZ Y GOLETA JULIA,GRAL PAZ,8,Point (97173.99360188 94265.65054023),PEATON,CARGAS,1,PEATON,Motorizado,PM,PEATON-CARGAS
2017-0053,1,2017-05-05,2017,5,5,20:16:22,20,VIEYTES Y VILLARINO,CALLE,4,Point (108050.74089604 97335.15201103),MOTO,CARGAS,1,Motorizado,Motorizado,MM,MOTO-CARGAS
2017-0054,1,2017-05-07,2017,5,7,21:00:00,21,AV. DE LOS CONSTITUYENTES Y PEDRO MORAN,AVENIDA,15,Point (97843.76024114 104700.29820723),MOTO,AUTO,1,Motorizado,Motorizado,MM,MOTO-AUTO
2017-0055,1,2017-05-09,2017,5,9,08:30:00,8,AV. DE LOS CONSTITUYENTES 4900,AVENIDA,12,Point (97032.68537217 105507.05805581),AUTO,AUTO,1,Motorizado,Motorizado,MM,AUTO-AUTO
2017-0058,1,2017-05-09,2017,5,9,23:10:00,23,AV. CORDOBA Y LIBERTAD,AVENIDA,1,Point (107271.27725903 103337.46347012),PEATON,MOTO,1,PEATON,Motorizado,PM,PEATON-MOTO
2017-0059,1,2017-05-11,2017,5,11,09:24:00,9,BRASIL Y LIMA,CALLE,1,Point (107433.79647713 100255.68319210),PEATON,PASAJEROS,1,PEATON,Motorizado,PM,PEATON-PASAJEROS
2017-0060,1,2017-05-13,2017,5,13,07:20:00,7,AV. ESCALADA Y AV. FERNANDEZ DE LA CRUZ,AVENIDA,8,Point (100333.14201607 95123.00813458),MOTO,OBJETO FIJO,1,Motorizado,No Motorizado,NmM,MOTO-OBJETO FIJO
2017-0061,1,2017-05-15,2017,5,15,13:29:30,13,PARAGUAY Y AV. CALLAO ,AVENIDA,2,Point (106445.10866138 103387.80115442),PEATON,MOTO,1,PEATON,Motorizado,PM,PEATON-MOTO
2017-0062,1,2017-05-15,2017,5,15,16:00:00,16,AV. JUAN B JUSTO Y SAN BLAS,AVENIDA,10,Point (95477.60201436 99478.59069542),MOTO,CARGAS,1,Motorizado,Motorizado,MM,MOTO-CARGAS
2017-0063,1,2017-05-17,2017,5,17,10:13:00,10,CHILE Y AV. 9 DE JULIO,AVENIDA,1,Point (107531.03549571 101417.11038758),PEATON,PASAJEROS,1,PEATON,Motorizado,PM,PEATON-PASAJEROS
2017-0064,1,2017-05-20,2017,5,20,05:00:00,5,MAIPU Y PERON,CALLE,1,Point (107958.58079244 102597.49225224),CARGAS,AUTO,1,Motorizado,Motorizado,MM,AUTO-CARGAS
